text,label,language,split,text_length
"dO HissOn mEin De sakTa hun, PEhlA Month enD Tak",LIKELY_PAY,Hindi,test,48
Bhai mera plan hai Thursday ko clear karna,LIKELY_PAY,Hinglish,train,42
"Half abhi de deta hun, baaki 2 din mein plz",LIKELY_PAY,Hindi,val,43
Payment fix hai Ravivaar ko!!,LIKELY_PAY,Hindi,train,29
Payment confirmed for Tuesday,LIKELY_PAY,English,train,29
I'll clear the dues in 3 days,LIKELY_PAY,English,val,29
Will clear the pending amount before Sunday.!!,LIKELY_PAY,English,train,46
Dude mujhe mujhe 15 din aur chahiye bas,LIKELY_PAY,Hindi,val,39
"I got my bonus, paying in 2 days",LIKELY_PAY,English,val,32
Parso tak pakka de dunga,LIKELY_PAY,Hindi,val,24
"Let me check balance, is weekend mein done 👍???",LIKELY_PAY,Hinglish,train,47
"Honestly i accept the due amount, will pay by Friday 🙏🙏???",LIKELY_PAY,English,train,58
"Listen bhai salry nahi aayi abhi, Shukravaar tak mein pakka kar dunga",LIKELY_PAY,Hinglish,train,69
Half now baaki in 2 days boss,LIKELY_PAY,Hinglish,test,29
"Madam haan haan karunga, agle hafte tak pakka",LIKELY_PAY,Hinglish,train,45
Transfer kore debo agle shoptahe,LIKELY_PAY,Bengali,train,32
"I ACCEPT THE AMOUNT, WILL PAY WITHIN A WEEK!!",LIKELY_PAY,Hinglish,train,45
"let me pay in installments, first one by friday",LIKELY_PAY,Hinglish,train,47
Madam aaj hi payment ho jayega,LIKELY_PAY,Hindi,train,30
"Dui bhage dite pari, prothom ta kaal yaar!!",LIKELY_PAY,Bengali,test,43
Can I pay in two parts? First part this weekend,LIKELY_PAY,English,train,47
"Sir my friend will lend me, I'll pay by end of month",LIKELY_PAY,English,train,52
"Paisa arrange ho gaya, aaj transfer",LIKELY_PAY,Hinglish,train,35
"salary ashbe shombar, tarpor e diye debo 🙏🙏!!",LIKELY_PAY,Bengali,train,45
Poora Poora taka ekbare diye debo,LIKELY_PAY,Bengali,train,33
"Busy chhilam, dekhbo",NEEDS_REMINDER,Bengali,train,20
Remind me later please,NEEDS_REMINDER,Hinglish,train,22
Amount verify karna padega,NEEDS_REMINDER,Hindi,train,26
Ok so aMI JANTAM NA OVERDUE HOYECHE,NEEDS_REMINDER,Bengali,val,35
Taratari handle korbo,NEEDS_REMINDER,Bengali,train,21
Yaar Yaar dUI DIN DAO SORT KORAR JONNO 👍,NEEDS_REMINDER,Bengali,train,40
Weekend mein dekhta hun thx!!,NEEDS_REMINDER,Hindi,train,29
Is there a grace period thanks,NEEDS_REMINDER,English,test,30
Ok so kAHAN PAY KARNA HAI? LINK BHEJO,NEEDS_REMINDER,Hindi,train,37
I'll get get back to you,NEEDS_REMINDER,Hinglish,train,24
"Work mein busy, will sort soon",NEEDS_REMINDER,Hinglish,train,30
Sir whICh loan ARE we talkIng abOUt 👍,NEEDS_REMINDER,English,train,37
Boss let me get back to you on this???,NEEDS_REMINDER,English,train,38
Look when was the due date again,NEEDS_REMINDER,English,train,32
"tRAveL tRAveL pe thA, aBHi aayA hUn yaar",NEEDS_REMINDER,Hindi,val,40
Bhai auto-pay auto-pay kaise set karna hai,NEEDS_REMINDER,Hindi,val,42
Hey oh oh bhool gaya tha,NEEDS_REMINDER,Hindi,train,24
Is there a grace period?,NEEDS_REMINDER,English,test,24
Honestly Honestly what's the account number for payment?,NEEDS_REMINDER,English,train,56
Give me 2 days to sort this,NEEDS_REMINDER,Hinglish,train,27
Listen i think notification miss ho gayi,NEEDS_REMINDER,Hinglish,val,40
Ye kaun si EMI hai?,NEEDS_REMINDER,Hindi,val,19
Arey jaldi handle karunga,NEEDS_REMINDER,Hindi,train,25
"Hey ok understood, I'll do something about it ...",NEEDS_REMINDER,English,train,49
"Ok noted, will check",NEEDS_REMINDER,Hinglish,train,20
I never agreed to these terms,DISPUTE,English,train,29
Loan agreement copy share karo,DISPUTE,Hindi,train,30
15th ka transAcTioN cHECk karo sir,DISPUTE,Hindi,train,34
Yaar i THINK KOI MISTAKE HAI,DISPUTE,Hinglish,train,28
Basically Basically written proof do kitna banta hai!!,DISPUTE,Hindi,test,54
"Hey detailed detailed statement chai, noyto kichu debo na",DISPUTE,Bengali,train,57
"My balance should be zero, I completed all payments",DISPUTE,English,train,51
"Dekho 15Th E paymEnT KorechiLem, cRedit hOyNi",DISPUTE,Bengali,train,45
Foreclosure amount amount bhul,DISPUTE,Bengali,test,30
"Meri bank se contact karo, issue tumhara hai",DISPUTE,Hindi,val,44
I don't agree with the outstanding amount,DISPUTE,English,train,41
Haan 5th er transaction check koro,DISPUTE,Bengali,test,34
Boss i never took this loan,DISPUTE,English,val,27
Boss written proof do amount ka,DISPUTE,Hinglish,val,31
"I have the payment receipt, shall I share?",DISPUTE,English,test,42
Charges er er complete breakdown pathao plz,DISPUTE,Bengali,test,43
Suno iNTEREST RATE KYUN BADLA 😢,DISPUTE,Hindi,test,31
"PhonePe se paid already, recheck please",DISPUTE,Hinglish,train,39
Formal complaint kar raha hun,DISPUTE,Hindi,test,29
Processing Processing fee waive honi thi 🙏🙏,DISPUTE,Hinglish,test,43
Acha ami ei loan niini,DISPUTE,Bengali,train,22
CHECK THE 20TH TRANSACTION,DISPUTE,English,train,26
Bhai Bhai ye amount galat hai,DISPUTE,Hinglish,test,29
Check 15th transaction pls,DISPUTE,Hinglish,train,26
Ok so i waS PROmised A DIFfeReNT intEResT rate 🤷,DISPUTE,English,train,48
