language,class,precision,recall,f1,support
English,LIKELY_PAY,0.7317,1.0,0.8451,30
English,NEEDS_REMINDER,0.95,0.9048,0.9268,21
English,DISPUTE,0.7037,0.95,0.8085,20
English,HIGH_RISK,0.84,1.0,0.913,21
English,VAGUE,1.0,1.0,1.0,32
English,ALREADY_PAID,0.0,0.0,0.0,21
Hindi,LIKELY_PAY,0.6585,1.0,0.7941,27
Hindi,NEEDS_REMINDER,0.913,0.913,0.913,23
Hindi,DISPUTE,0.75,1.0,0.8571,21
Hindi,HIGH_RISK,0.9091,0.9524,0.9302,21
Hindi,VAGUE,0.9412,1.0,0.9697,32
Hindi,ALREADY_PAID,0.0,0.0,0.0,24
Bengali,LIKELY_PAY,0.8235,0.9333,0.875,30
Bengali,NEEDS_REMINDER,0.7857,0.9167,0.8462,24
Bengali,DISPUTE,0.6111,1.0,0.7586,22
Bengali,HIGH_RISK,0.9286,1.0,0.963,26
Bengali,VAGUE,1.0,1.0,1.0,33
Bengali,ALREADY_PAID,0.0,0.0,0.0,24
Hinglish,LIKELY_PAY,0.8235,1.0,0.9032,28
Hinglish,NEEDS_REMINDER,0.9231,1.0,0.96,24
Hinglish,DISPUTE,0.5946,1.0,0.7458,22
Hinglish,HIGH_RISK,1.0,1.0,1.0,23
Hinglish,VAGUE,1.0,1.0,1.0,29
Hinglish,ALREADY_PAID,0.0,0.0,0.0,23
