text,true_label,predicted_label,confidence,language,hard_reason
Partial 5th e korechilem ar baki 5th e boss???,ALREADY_PAID,DISPUTE,0.3419,Bengali,misclassified
Dude acCOUnt seTtle kOrE diyeChI,ALREADY_PAID,DISPUTE,0.3195,Bengali,misclassified
Mere Mere co-applicant ne pay kar diya hai yaar,DISPUTE,ALREADY_PAID,0.95,Hindi,misclassified
I transffrred via bank transfer on 25th,ALREADY_PAID,DISPUTE,0.4832,English,misclassified
"I have the UTR number, want to see?",ALREADY_PAID,HIGH_RISK,0.3507,English,misclassified
Ok Ok so the EMI was deducted from my account,ALREADY_PAID,NEEDS_REMINDER,0.4281,English,misclassified
Kaun sa loan hai 🙂,NEEDS_REMINDER,DISPUTE,0.3475,Hindi,misclassified
Arey pAYMENT PROOF EMAIL MEIN HAI 💰,ALREADY_PAID,LIKELY_PAY,0.4462,Hindi,misclassified
"App diye pay korechi, transaction ID ache",ALREADY_PAID,DISPUTE,0.5726,Bengali,misclassified
RBI mein complaint kar chuka hun,HIGH_RISK,ALREADY_PAID,0.95,Hindi,misclassified
"Mera CA dekhta hai ye sab, usse puchta hun",NEEDS_REMINDER,VAGUE,0.3299,Hindi,misclassified
"NEFT korechilem Shukrobar er moddhe, reflect howar kotha 🤷",ALREADY_PAID,DISPUTE,0.3483,Bengali,misclassified
"Ok so alReaDy cleAreD, DOn'T CaLl aGaIn For ThIs 🙂",ALREADY_PAID,HIGH_RISK,0.3791,English,misclassified
Paytm diye pathiye diyechi taka,ALREADY_PAID,LIKELY_PAY,0.5941,Bengali,misclassified
"Payment proof is in my email, can forward",ALREADY_PAID,LIKELY_PAY,0.4153,English,misclassified
"See proof hai payment ka, bhej dun thx",ALREADY_PAID,LIKELY_PAY,0.6156,Hinglish,misclassified
"Paid in full, you should have it",ALREADY_PAID,DISPUTE,0.3392,Hinglish,misclassified
"Check 5th credit, woh mera payment hai",ALREADY_PAID,DISPUTE,0.7151,Hinglish,misclassified
"Proof hai payment ka, bhejun sir",ALREADY_PAID,LIKELY_PAY,0.6065,Hindi,misclassified
Got confirmation after paying bhai,ALREADY_PAID,LIKELY_PAY,0.4375,Hinglish,misclassified
Transaction shuru kore diyechi,LIKELY_PAY,DISPUTE,0.4092,Bengali,misclassified
Dekho pAYMENT HO CHUKA HAI,ALREADY_PAID,LIKELY_PAY,0.5387,Hindi,misclassified
Bhai aUTO-DEBIT 10TH E HOYECHHILO,ALREADY_PAID,NEEDS_REMINDER,0.6802,Bengali,misclassified
"NEFT kiya tha ek hafte mein, reflect hona chahiye",ALREADY_PAID,DISPUTE,0.4117,Hindi,misclassified
"Dekho this is resolved, payment was made",ALREADY_PAID,LIKELY_PAY,0.3863,English,misclassified
