text,label,language,split
Apna kaam karo ...,HIGH_RISK,Hindi,train
"Honestly ekhon taka taka nei, agle shoptahe porjonto wait koro boss",LIKELY_PAY,Bengali,train
Listen statement pawa jabe?!!,NEEDS_REMINDER,Bengali,train
"Boss bro let me arrange, 3 din mein tak done",LIKELY_PAY,Hinglish,train
Baad mein shayad,VAGUE,Hindi,train
Can't promise promise anything,VAGUE,English,train
manager manager se baat karao mujhe 🙂,DISPUTE,Hindi,train
"etA onYo onYo karO Loan, AMAr na",DISPUTE,Bengali,train
Yaar eMI ka paisa alag set hai,LIKELY_PAY,Hinglish,train
Arey my lawyer will handle this,HIGH_RISK,English,train
I wasn't aware it was overdue ok?!!,NEEDS_REMINDER,English,train
Bolte parbo na shotti,VAGUE,Bengali,train
"Haan jani, ek shoptahe e korbo ok?",LIKELY_PAY,Bengali,train
"Basically my balance should be zero, I completed all payments 😢",DISPUTE,English,train
"Basically account number dao, ekhon transfer kori!!",LIKELY_PAY,Bengali,train
Kichu debar nei amar yaar???,HIGH_RISK,Bengali,train
Bas thoda sa wait karo,LIKELY_PAY,Hindi,train
Bhebhe dekhbo yaar,VAGUE,Bengali,train
Haan pata hi nahi chala late ho gaya boss!!,NEEDS_REMINDER,Hindi,train
Hey ekhono unpaid keno?,DISPUTE,Bengali,train
Listen 20th ka transaction check karo,DISPUTE,Hindi,train
Dekhi asap,VAGUE,Bengali,train
Sochunga iske baare mein boss,VAGUE,Hindi,train
Hey pAYMENT pAYMENT HO JAYEGA BY WEDNESDAY,LIKELY_PAY,Hinglish,train
Haan you people have no shame,HIGH_RISK,English,train
"Promise korchi, kaal e!!",LIKELY_PAY,Bengali,train
Haan caN't say rIght NoW!!,VAGUE,English,train
Bhai notification nahi aaya,NEEDS_REMINDER,Hinglish,train
"Madam bhule gechilam, ekhon korchi 🤷",LIKELY_PAY,Bengali,train
"last month ko payment kiya tha, credit nahi hua",DISPUTE,Hindi,train
Ok so yOU GUYS ARE SCAMMERS!!,HIGH_RISK,Hinglish,train
PROMISE KORTE KORTE PARBO NA yaar,VAGUE,Bengali,train
I don't agree with the outstanding amount,DISPUTE,English,train
Acha miGht be Able to plz,VAGUE,English,train
Let's see what happens,VAGUE,English,train
"Half abhi de deta hun, baaki Shukravaar tak",LIKELY_PAY,Hindi,train
"I accept the due amount, will pay by end of month",LIKELY_PAY,English,train
I'LL PAY THE FULL AMOUNT WITHIN A WEEK,LIKELY_PAY,English,train
I don't know asap,VAGUE,English,train
Ok so statement mil sakta hai thanks,NEEDS_REMINDER,Hindi,train
I don't know know yaar,VAGUE,Hinglish,train
Calculation mein kuch gadbad hai,DISPUTE,Hindi,train
Sochne do mujhe,VAGUE,Hinglish,train
Bhai ye amnt galat hai 😢???,DISPUTE,Hinglish,train
Ok so amake notification asheni,NEEDS_REMINDER,Bengali,train
Payment ka account number kya hai boss,NEEDS_REMINDER,Hindi,train
"Don't worry worry yaar, karke dunga",LIKELY_PAY,Hinglish,train
Dekha jak kichu hoy ki na,VAGUE,Bengali,train
Payment Payment kata tha lekin pending dikha raha hai,DISPUTE,Hindi,train
Madam taka pathacchi ektu pore,LIKELY_PAY,Bengali,train
Dude Dude fINAL ANSWER: NO PAYMENT,HIGH_RISK,Hinglish,train
"Dude paying today itself, plz wait???",LIKELY_PAY,English,train
Amount verify verify karna hai mujhe,NEEDS_REMINDER,Hinglish,train
Social media te expose korbo,HIGH_RISK,Bengali,train
Acha bill ta ta abar pathao,NEEDS_REMINDER,Bengali,train
Apna Apna time waste kar rahe ho,HIGH_RISK,Hindi,train
Actually dEKHTE HAIN BHAI,VAGUE,Hinglish,train
I promise to pay by Monday for sure,LIKELY_PAY,English,train
Foreclosure amount is incorrect,DISPUTE,Hinglish,train
NO COMMENT COMMENT BHAI,VAGUE,Hinglish,train
Payment ho jayega by Tuesday,LIKELY_PAY,Hinglish,train
Uncertain,VAGUE,English,train
Tomar company fraud plz,HIGH_RISK,Bengali,train
AMOUNT WO NAHI HAI JO SIGN KIYA THA thanks,DISPUTE,Hindi,train
Dekho sHARE LOAN AGREEMENT COPY PLEASE,DISPUTE,Hinglish,train
It depends yaar,VAGUE,Hinglish,train
Which loan ki baat ho rahi hai bro!!,NEEDS_REMINDER,Hinglish,train
Any Grace peRiod peRiod aVailaBle?,NEEDS_REMINDER,Hinglish,train
"UPI pathao, ekhon e kori boss",LIKELY_PAY,Bengali,train
Dekho i Need to verifY thIs WiTh mY baNK yaar,DISPUTE,English,train
Actually Actually dui din dao sort korar jonno,NEEDS_REMINDER,Bengali,train
last month ka transaction check karo,DISPUTE,Hindi,train
"Haan I know, will pay within a week",LIKELY_PAY,Hinglish,train
"Arey ek aur chance do, 3 din mein guaranteed 💰",LIKELY_PAY,Hinglish,train
Suno case koro jodi shahos thake 💰,HIGH_RISK,Bengali,train
Suno check the 20th transaction!!,DISPUTE,English,train
decide karne mein time do yaar,VAGUE,Hindi,train
Bhebhe dekhbo ok?,VAGUE,Bengali,train
"Abhi paisa nahi nahi hai, ek hafte mein tak pakka",LIKELY_PAY,Hindi,train
Not sure sure 💰,VAGUE,English,train
My bank shows successful payment,DISPUTE,English,train
Basically my payment payment on 15th was not credited???,DISPUTE,English,train
Suno tumhari company seedhe logon ko pareshan karti hai thanks!!,HIGH_RISK,Hindi,train
WHO KNOWS!!,VAGUE,English,train
Tomar agent last time onno amount bolechhilo,DISPUTE,Bengali,train
Basically let's see kya hota hai,VAGUE,Hinglish,train
Boss pORE BOLBO AMI,NEEDS_REMINDER,Bengali,train
Aro ekta call ashle report korbo,HIGH_RISK,Bengali,train
Basically Basically blocking this number right now,HIGH_RISK,Hinglish,train
Boss bas ektu wait koro!!,LIKELY_PAY,Bengali,train
try karunga???,VAGUE,Hinglish,train
Finances check check karke batata hun,NEEDS_REMINDER,Hindi,train
Dude toder lojja nei,HIGH_RISK,Bengali,train
"Thoda aur time do, ek hafte mein tak de dunga",LIKELY_PAY,Hindi,train
Account number kya hai for paymnt asap,NEEDS_REMINDER,Hinglish,train
Tumhara system galat data dikha raha hai,DISPUTE,Hindi,train
Actually auto-debit on chhilo na plz,NEEDS_REMINDER,Bengali,train
Can I pay in two parts? First part next week,LIKELY_PAY,English,train
"ektu somoy dao, kaal diye debo",LIKELY_PAY,Bengali,train
"Account number do, abhi transfer karta hun",LIKELY_PAY,Hindi,train
Statement pawa pawa jabe????,NEEDS_REMINDER,Bengali,train
"government e chinchi chinchi lokjon, shambhale",HIGH_RISK,Bengali,train
Dekho aaj raater raater moddhe hoye jabe,LIKELY_PAY,Bengali,train
Didn't know know it was overdue yaar bro!!,NEEDS_REMINDER,Hinglish,train
EXACTLY KITNA HAI 😡,NEEDS_REMINDER,Hinglish,train
Arey fIr karungA tuMhare Naam Pe ...,HIGH_RISK,Hindi,train
"Ok so so uPI ID share karo, abhi bhejta hun",LIKELY_PAY,Hinglish,train
"Mujhe apne rights pata hain, dhamki dena band karo",HIGH_RISK,Hindi,train
Banking ombudsman er kache jabo,HIGH_RISK,Bengali,train
Maybe shayad 🙏???,VAGUE,Hinglish,train
Time chahiye merko,VAGUE,Hinglish,train
"Main serious hun, month end tak tak pakka",LIKELY_PAY,Hindi,train
Basically which loan ki baat ho rahi hai?!!,NEEDS_REMINDER,Hinglish,train
"Haan Haan ok fine, take the payment this weekend",LIKELY_PAY,English,train
bhABte HOBe!!,VAGUE,Bengali,train
Look my LAwyeR wiLl hANdle thiS???,HIGH_RISK,English,train
"Kabhi nahi dunga, deal with it",HIGH_RISK,Hindi,train
Koshish karunga jaldi se jaldi,LIKELY_PAY,Hindi,train
I don't know what to say,VAGUE,English,train
Boss situation check karna padega 🙏🙏,VAGUE,Hinglish,train
"Bhule gechilam, ekhon korchi",LIKELY_PAY,Bengali,train
manager manager er shathe kotha bolte chai???,DISPUTE,Bengali,train
Interest rate kyun badla asap???,DISPUTE,Hindi,train
Numbers don't add up yaar thanks,DISPUTE,Hinglish,train
AMAR PLAN ACHE SHOMBAR DITE thx!!,LIKELY_PAY,Bengali,train
Tum log scammer ho,HIGH_RISK,Hindi,train
You can't touch me bhai,HIGH_RISK,Hinglish,train
can't can't really say,VAGUE,English,train
Something is wrong with your calculation,DISPUTE,English,train
Dekha jabe,VAGUE,Bengali,train
