text,label,language,detected_language
I am transferring today evening,LIKELY_PAY,English,da
I can do partial payment today,LIKELY_PAY,English,es
"I got my bonus, paying in 2 days",LIKELY_PAY,English,tl
"I remember now, let me pay quickly",LIKELY_PAY,English,fr
"Ok I understand, paying this weekend",LIKELY_PAY,English,af
"SORRY FOR DELAY, PAYING NEXT WEEK DEFINITELY 😢",LIKELY_PAY,English,de
"moNey Is rEAdY, wilL trANsfeR in 3 days yaar",LIKELY_PAY,English,so
"Ok i uNDersTand, PAYInG nexT weeK 😭",LIKELY_PAY,English,de
Yaar i PROMISE TO PAY BY FRIDAY FOR SURE,LIKELY_PAY,English,tr
"Yaar yOU WILL RECEIVE PAYMENT WITHIN A WEEK, GUARANTEED!!",LIKELY_PAY,English,so
MY PAYMENT IS SCHEDULED FOR MONDAY,LIKELY_PAY,English,de
"Haan Haan ok fine, take the payment this weekend",LIKELY_PAY,English,nl
"Look yOU WILL RECEIVE PAYMENT NEXT WEEK, GUARANTEED yaar",LIKELY_PAY,English,so
i just need 15 more days ok?!!,LIKELY_PAY,English,no
Kal payment kar dunga,LIKELY_PAY,Hindi,id
"Haan bhai, month end tak tak kar dunga",LIKELY_PAY,Hindi,id
"Paisa arrange ho raha hai, Shukravaar tak mein de dunga",LIKELY_PAY,Hindi,id
"Salary aa jayegi Somvaar ko, uske baad turant",LIKELY_PAY,Hindi,so
"Main payment karunga, tension mat lo",LIKELY_PAY,Hindi,id
"Abhi paisa nahi hai, Shukravaar tak tak pakka",LIKELY_PAY,Hindi,id
"Haan mujhe pata hai, ek hafte mein kar dunga",LIKELY_PAY,Hindi,id
NEFT kar dunga agle hafte,LIKELY_PAY,Hindi,id
Pura amount de dunga Shukravaar tak,LIKELY_PAY,Hindi,id
"Do hisson mein de sakta hun, pehla ek hafte mein",LIKELY_PAY,Hindi,de
Mujhe 10 din aur chahiye bas,LIKELY_PAY,Hindi,so
Aaj shaam tak transfer kar dunga,LIKELY_PAY,Hindi,id
Payment fix hai Budhvaar ko,LIKELY_PAY,Hindi,nl
"UPI bhej do, abhi kar deta hun",LIKELY_PAY,Hindi,id
Aaj hi payment ho jayega,LIKELY_PAY,Hindi,sq
"Main kar raha hun arrange, kal tak ho jayega",LIKELY_PAY,Hindi,id
"Half abhi de deta hun, baaki Shukravaar tak",LIKELY_PAY,Hindi,id
"Main serious hun, month end tak tak pakka",LIKELY_PAY,Hindi,id
Bilkul karunga payment,LIKELY_PAY,Hindi,id
"Thoda aur time do, Shukravaar tak tak de dunga",LIKELY_PAY,Hindi,id
"Paise ready hain, transfer kar raha hun",LIKELY_PAY,Hindi,id
"Bhai promise karta hun, 2 din mein tak",LIKELY_PAY,Hindi,id
Maine apne side se arrangement kar liya hai,LIKELY_PAY,Hindi,no
Amount bhej raha hun thodi der mein,LIKELY_PAY,Hindi,id
Salary aate hi turant karunga,LIKELY_PAY,Hindi,id
Abhi process mein hai payment,LIKELY_PAY,Hindi,en
Ek-do ghante mein ho jayega,LIKELY_PAY,Hindi,nl
Parso tak pakka de dunga,LIKELY_PAY,Hindi,id
"Main bhool gaya tha, abhi karta hun",LIKELY_PAY,Hindi,so
"Account number do, abhi transfer karta hun",LIKELY_PAY,Hindi,en
Poora paisa ek saath de dunga,LIKELY_PAY,Hindi,id
"Main kabhi mana nahi kiya, payment karunga",LIKELY_PAY,Hindi,tl
Bas thoda sa wait karo,LIKELY_PAY,Hindi,tl
Aaj raat tak ho jayega,LIKELY_PAY,Hindi,so
"Main koshish kar raha hun, month end tak tak",LIKELY_PAY,Hindi,id
Online payment kar deta hun abhi,LIKELY_PAY,Hindi,id
"EMI amount ready hai, bhej raha hun",LIKELY_PAY,Hindi,id
Mera plan hai Shukravaar ko dene ka,LIKELY_PAY,Hindi,id
"Bonus aaya hai, abhi de deta hun",LIKELY_PAY,Hindi,id
Transaction start kar diya hai,LIKELY_PAY,Hindi,id
"De dunga, chinta mat karo",LIKELY_PAY,Hindi,id
"Ek din aur please, pakka dunga",LIKELY_PAY,Hindi,id
Bhai time pe de dunga,LIKELY_PAY,Hindi,id
"Main zimmedar hun, payment karunga",LIKELY_PAY,Hindi,id
EMI ka paisa alag rakha hai,LIKELY_PAY,Hindi,tl
Bas salary ka wait hai,LIKELY_PAY,Hindi,tl
"De raha hun, patience rakho",LIKELY_PAY,Hindi,id
Koshish karunga jaldi se jaldi,LIKELY_PAY,Hindi,et
"Haan theek hai, de deta hun",LIKELY_PAY,Hindi,nl
"Payment ho jayega, guarantee deta hun",LIKELY_PAY,Hindi,id
"haan bhai, 2 din mein tak kar dunga",LIKELY_PAY,Hindi,id
"Do hisson mein de sakta hun, pehla 3 din mein???",LIKELY_PAY,Hindi,de
NEFT kar dunga 3 din mein,LIKELY_PAY,Hindi,id
