text,true_label,predicted_label,confidence,language,correct
i made the payment by end of month,ALREADY_PAID,LIKELY_PAY,0.8773616181227855,English,False
The amount has already been paid,ALREADY_PAID,DISPUTE,0.8157598154091111,English,False
Actually auTO-debIT sE CoVEr hO gaYi ThI Emi 🙏,ALREADY_PAID,NEEDS_REMINDER,0.8150268643815891,Hindi,False
Well pAYMENT WAS ALREADY TRANSFERRED VIA UPI,ALREADY_PAID,LIKELY_PAY,0.7988687398618892,English,False
Amar dik theke transaction successful,ALREADY_PAID,DISPUTE,0.7762060086673682,Bengali,False
"Well check your system, I paid via cheque",ALREADY_PAID,DISPUTE,0.7641640555501227,English,False
Hey maine paisa already transfer kar diya thanks,ALREADY_PAID,LIKELY_PAY,0.7179407163465087,Hindi,False
"Check 5th credit, woh mera payment hai",ALREADY_PAID,DISPUTE,0.7150834610018274,Hinglish,False
"Your system is not updated, I paid already",ALREADY_PAID,DISPUTE,0.7148025137713429,English,False
My side se transaction successful,ALREADY_PAID,DISPUTE,0.7123159437326086,Hinglish,False
"Check last month credit, woh mera payment hai",ALREADY_PAID,DISPUTE,0.6894730215247326,Hinglish,False
Bhai aUTO-DEBIT 10TH E HOYECHHILO,ALREADY_PAID,NEEDS_REMINDER,0.6801747413588195,Bengali,False
"Transaction complete ho gaya, your side pe check karo",ALREADY_PAID,DISPUTE,0.6771151254882136,Hinglish,False
I paid this off months ago,ALREADY_PAID,DISPUTE,0.6770347681940599,English,False
bank transfer se bhej diya paisa,ALREADY_PAID,LIKELY_PAY,0.6743522750792804,Hindi,False
phonepe diye transfer transfer kore diyechi,ALREADY_PAID,LIKELY_PAY,0.6699920702526165,Bengali,False
"Check please, my payment was successful",ALREADY_PAID,DISPUTE,0.6523847016574089,Hinglish,False
I already paid this last week,ALREADY_PAID,DISPUTE,0.6500169900647689,English,False
"Hey transaction complete complete ho gaya, your side pe check karo",ALREADY_PAID,DISPUTE,0.6431996533585963,Hinglish,False
Payment was already transferred via PhonePe,ALREADY_PAID,LIKELY_PAY,0.6190459758659259,English,False
NEFT se bhej diya paisa,ALREADY_PAID,LIKELY_PAY,0.6185445705882754,Hindi,False
"See proof hai payment ka, bhej dun thx",ALREADY_PAID,LIKELY_PAY,0.6156005201363559,Hinglish,False
Ami 10th e pay korechi yaar,ALREADY_PAID,DISPUTE,0.6086247314535321,Bengali,False
"Proof hai payment ka, bhejun sir",ALREADY_PAID,LIKELY_PAY,0.6064916379448501,Hindi,False
"Pakka pay kiya hai, screenshot hai",ALREADY_PAID,LIKELY_PAY,0.6029430977725633,Hindi,False
"Look check please, my paymt was successful???",ALREADY_PAID,DISPUTE,0.5997111030915206,Hinglish,False
Payment was already transferred via cheque,ALREADY_PAID,LIKELY_PAY,0.5967252797225073,English,False
Paytm diye pathiye diyechi taka,ALREADY_PAID,LIKELY_PAY,0.5940799107328403,Bengali,False
"Dekho ye solve ho gaya hai, payment hua",ALREADY_PAID,LIKELY_PAY,0.5843051809502544,Hindi,False
Acha rTGS diye diye pathiye diyechi taka,ALREADY_PAID,LIKELY_PAY,0.5831677801860553,Bengali,False
"Definitely paid, here's my transaction screenshot",ALREADY_PAID,DISPUTE,0.5743763795315106,English,False
"App diye pay korechi, transaction ID ache",ALREADY_PAID,DISPUTE,0.5725612894057855,Bengali,False
Transaction complete hoye gechilo thanks!!,ALREADY_PAID,DISPUTE,0.5668661948524191,Bengali,False
Months Months pehle pay kar diya tha,ALREADY_PAID,LIKELY_PAY,0.5628417713580467,Hindi,False
"Online payment done, awaiting confirmation",ALREADY_PAID,LIKELY_PAY,0.5581310633174086,Hinglish,False
"Well ye solve ho gaya hai, payment hua boss",ALREADY_PAID,LIKELY_PAY,0.5520403659678355,Hindi,False
EMI account se kat gayi,ALREADY_PAID,NEEDS_REMINDER,0.5493054266003156,Hindi,False
Transfer kiya tha PhonePe se on last month,ALREADY_PAID,DISPUTE,0.541097297207103,Hinglish,False
"Madam i already paid yaar, records dekho",ALREADY_PAID,DISPUTE,0.541031052955931,Hinglish,False
Dekho pAYMENT HO CHUKA HAI,ALREADY_PAID,LIKELY_PAY,0.5386725904611902,Hindi,False
AUTO-DEBIT 25TH 25TH E HOYECHHILO,ALREADY_PAID,NEEDS_REMINDER,0.5377673510666341,Bengali,False
"App se se paid, transaction ID available hai !!!!",ALREADY_PAID,DISPUTE,0.5290258790668181,Hinglish,False
"Actually proof hai payment ka, bhejun?",ALREADY_PAID,LIKELY_PAY,0.5249956329190945,Hindi,False
"Honestly i already paid yaar, records dekho???",ALREADY_PAID,DISPUTE,0.5186050902060392,Hinglish,False
Yaar due date Er Age-i koRe dIyEChilem 🙂,ALREADY_PAID,NEEDS_REMINDER,0.5148164583722209,Bengali,False
"Dekho payment proof proof email mein hai, forward karun yaar",ALREADY_PAID,LIKELY_PAY,0.5105688887046197,Hinglish,False
"My bank shows the debit, payment is done",ALREADY_PAID,DISPUTE,0.5054430266793691,English,False
Haan emi aCCount Theke Kete gEChE,ALREADY_PAID,NEEDS_REMINDER,0.4892356800817975,Bengali,False
Ok so phonePe diye 1st e transfer korechilem.,ALREADY_PAID,DISPUTE,0.48861847941990433,Bengali,False
Bhai partial on 15th kiya tha and rest on 15th 😡,ALREADY_PAID,DISPUTE,0.4832641673362674,Hinglish,False
I transffrred via bank transfer on 25th,ALREADY_PAID,DISPUTE,0.4832197515410848,English,False
Well transaction reference number check karo thx,ALREADY_PAID,DISPUTE,0.47477258896091623,Hindi,False
"I'll take care of it, don't keep calling",NEEDS_REMINDER,HIGH_RISK,0.4563813920509057,English,False
Transfer kiya tha Google Pay se on last month,ALREADY_PAID,LIKELY_PAY,0.4553201036237157,Hinglish,False
Arey pAYMENT PROOF EMAIL MEIN HAI 💰,ALREADY_PAID,LIKELY_PAY,0.4462469434117472,Hindi,False
"Honestly app se paid, transaction id available hai !!",ALREADY_PAID,DISPUTE,0.4445876036686825,Hinglish,False
Arey bank statement e clear ache paymt,ALREADY_PAID,DISPUTE,0.4414207975200962,Bengali,False
Partial on 5th kiya tha and rest on 5th,ALREADY_PAID,DISPUTE,0.4377063435344193,Hinglish,False
Got confirmation after paying bhai,ALREADY_PAID,LIKELY_PAY,0.4374840331968026,Hinglish,False
Madam uPI se pay kiya already,ALREADY_PAID,LIKELY_PAY,0.4346689070362343,Hinglish,False
UTR number hai mere paas,ALREADY_PAID,HIGH_RISK,0.42824234721515,Hindi,False
Ok Ok so the EMI was deducted from my account,ALREADY_PAID,NEEDS_REMINDER,0.4281234609234934,English,False
I made partial payment on 15th and rest on 15th,ALREADY_PAID,LIKELY_PAY,0.4236773574982688,English,False
"NEFT kiya tha agle hafte, reflect hona chahiye",ALREADY_PAID,DISPUTE,0.4215337969352763,Hindi,False
"Taka pathiye pathiye diyechi, check koro",ALREADY_PAID,DISPUTE,0.4161321440806754,Bengali,False
"Payment proof is in my email, can forward",ALREADY_PAID,LIKELY_PAY,0.4153049126977203,English,False
"Actually i have the payment receipt, shall I share?",DISPUTE,LIKELY_PAY,0.4135492602887987,English,False
Taka Taka ber hoye geche account theke sir,ALREADY_PAID,LIKELY_PAY,0.4129389712606281,Bengali,False
"NEFT kiya tha ek hafte mein, reflect hona chahiye",ALREADY_PAID,DISPUTE,0.411727442289427,Hindi,False
Transaction shuru kore diyechi,LIKELY_PAY,DISPUTE,0.40915819079349935,Bengali,False
"Paise bhej diye the, check karo",ALREADY_PAID,LIKELY_PAY,0.398072530635445,Hindi,False
